,data,servico,id_veiculo_amostra,hora_inicio,hora_fim,sentido_amostra,datetime_partida_amostra,datetime_chegada_amostra,status,servico_informado,id_veiculo_apurada,sentido_apurada,datetime_partida_apurada,datetime_chegada_apurada
90,2023-07-06,844,47689,17:06:00,17:21:00,I,2023-07-06 17:06:00,2023-07-06 17:21:00,Viagem inválida - a linha é circular,,,,,
91,2023-07-06,844,47689,17:39:00,17:52:00,I,2023-07-06 17:39:00,2023-07-06 17:52:00,Viagem inválida - a linha é circular,,,,,
92,2023-07-06,844,47689,18:10:00,18:23:00,I,2023-07-06 18:10:00,2023-07-06 18:23:00,Viagem inválida - a linha é circular,,,,,
93,2023-07-06,844,47689,18:39:00,18:52:00,I,2023-07-06 18:39:00,2023-07-06 18:52:00,Viagem inválida - a linha é circular,,,,,
94,2023-07-06,844,47689,18:53:00,19:06:00,V,2023-07-06 18:53:00,2023-07-06 19:06:00,"Encontrado sinal de GPS, mas sem dados em registros_status_viagem ",,,,,
95,2023-07-11,844,47689,10:20:00,10:26:00,I,2023-07-11 10:20:00,2023-07-11 10:26:00,"Encontrado sinal de GPS, mas sem dados em registros_status_viagem ",,,,,
96,2023-07-11,844,47689,10:37:00,10:47:00,I,2023-07-11 10:37:00,2023-07-11 10:47:00,Viagem inválida - a linha é circular,,,,,
97,2023-07-11,844,47689,10:57:00,11:12:00,I,2023-07-11 10:57:00,2023-07-11 11:12:00,Viagem inválida - a linha é circular,,,,,
98,2023-07-11,844,47689,11:21:00,11:29:00,I,2023-07-11 11:21:00,2023-07-11 11:29:00,Viagem inválida - a linha é circular,,,,,
99,2023-07-11,844,47689,11:39:00,11:47:00,I,2023-07-11 11:39:00,2023-07-11 11:47:00,Viagem inválida - a linha é circular,,,,,
100,2023-07-11,844,47689,11:59:00,12:07:00,I,2023-07-11 11:59:00,2023-07-11 12:07:00,Viagem inválida - a linha é circular,,,,,
101,2023-07-11,844,47689,12:15:00,12:21:00,I,2023-07-11 12:15:00,2023-07-11 12:21:00,Viagem inválida - a linha é circular,,,,,
102,2023-07-11,844,47689,12:28:00,12:35:00,I,2023-07-11 12:28:00,2023-07-11 12:35:00,Viagem inválida - a linha é circular,,,,,
103,2023-07-11,844,47689,12:45:00,12:56:00,I,2023-07-11 12:45:00,2023-07-11 12:56:00,Viagem inválida - a linha é circular,,,,,
104,2023-07-11,844,47689,13:05:00,13:14:00,I,2023-07-11 13:05:00,2023-07-11 13:14:00,Viagem inválida - a linha é circular,,,,,
105,2023-07-11,844,47689,13:23:00,13:33:00,I,2023-07-11 13:23:00,2023-07-11 13:33:00,Viagem inválida - a linha é circular,,,,,
106,2023-07-11,844,47689,13:44:00,13:54:00,I,2023-07-11 13:44:00,2023-07-11 13:54:00,Viagem inválida - a linha é circular,,,,,
107,2023-07-11,844,47689,14:05:00,14:16:00,I,2023-07-11 14:05:00,2023-07-11 14:16:00,Viagem inválida - a linha é circular,,,,,
108,2023-07-11,844,47689,14:24:00,14:34:00,I,2023-07-11 14:24:00,2023-07-11 14:34:00,Viagem inválida - a linha é circular,,,,,
109,2023-07-11,844,47689,14:45:00,14:57:00,I,2023-07-11 14:45:00,2023-07-11 14:57:00,Viagem inválida - a linha é circular,,,,,
110,2023-07-11,844,47689,15:11:00,15:21:00,I,2023-07-11 15:11:00,2023-07-11 15:21:00,Viagem inválida - a linha é circular,,,,,
111,2023-07-11,844,47689,15:29:00,15:39:00,I,2023-07-11 15:29:00,2023-07-11 15:39:00,Viagem inválida - a linha é circular,,,,,
112,2023-07-11,844,47689,15:49:00,15:58:00,I,2023-07-11 15:49:00,2023-07-11 15:58:00,Viagem inválida - a linha é circular,,,,,
113,2023-07-11,844,47689,16:09:00,16:16:00,I,2023-07-11 16:09:00,2023-07-11 16:16:00,Viagem inválida - a linha é circular,,,,,
114,2023-07-11,844,47689,16:26:00,16:31:00,I,2023-07-11 16:26:00,2023-07-11 16:31:00,Viagem inválida - a linha é circular,,,,,
115,2023-07-11,844,47689,16:44:00,16:59:00,I,2023-07-11 16:44:00,2023-07-11 16:59:00,Viagem inválida - a linha é circular,,,,,
116,2023-07-11,844,47689,17:14:00,17:25:00,I,2023-07-11 17:14:00,2023-07-11 17:25:00,Viagem inválida - a linha é circular,,,,,
117,2023-07-11,844,47689,17:37:00,17:47:00,I,2023-07-11 17:37:00,2023-07-11 17:47:00,Viagem inválida - a linha é circular,,,,,
118,2023-07-11,844,47689,18:09:00,18:23:00,I,2023-07-11 18:09:00,2023-07-11 18:23:00,Viagem inválida - a linha é circular,,,,,
119,2023-07-11,844,47689,18:41:00,18:50:00,I,2023-07-11 18:41:00,2023-07-11 18:50:00,Viagem inválida - a linha é circular,,,,,
120,2023-07-11,844,47689,18:52:00,19:00:00,V,2023-07-11 18:52:00,2023-07-11 19:00:00,"Encontrado sinal de GPS, mas sem dados em registros_status_viagem ",,,,,
121,2023-07-19,844,47689,10:18:00,10:28:00,I,2023-07-19 10:18:00,2023-07-19 10:28:00,"Encontrado sinal de GPS, mas sem dados em registros_status_viagem ",,,,,
122,2023-07-19,844,47689,10:38:00,10:48:00,I,2023-07-19 10:38:00,2023-07-19 10:48:00,Viagem inválida - a linha é circular,,,,,
123,2023-07-19,844,47689,10:58:00,11:08:00,I,2023-07-19 10:58:00,2023-07-19 11:08:00,Viagem inválida - a linha é circular,,,,,
124,2023-07-19,844,47689,11:21:00,11:32:00,I,2023-07-19 11:21:00,2023-07-19 11:32:00,Viagem inválida - a linha é circular,,,,,
